slug,name,category,posture,band_pct,edible_yield_pct,trim_tax,cooked_yield,cheapest_month,save_pct,hedge_swap,pressure_dir,pressure_conf,us_import_value_usd,us_export_value_usd,us_production_usd,us_landings_value_usd,us_landings_year,us_landings_wild_minimal,import_mostly_farmed,farm_price,farm_price_unit,import_reliance_pct,import_reliance_year,import_reliance_scope,import_years,import_peak_months,import_peak_quarter_share,import_hs6,import_yoy_pct,import_source_concentration,import_source_hhi,import_top_sources,notable_events_n,median_shock_days,biggest_move_pct,biggest_move_date,comovers
tomato-paste,Tomato paste,pantry,,,,,,,,,,,92216588,355797176,,,,,,,,,,,2010-2025,6;7;12,26,200290,13.6,concentrated,0.27,Italy:43%;Chile:26%;Turkey:7%,,,,,
canned-tomatoes,Canned tomatoes,pantry,,,,,,,,,,,72596499,80095000,,,,,,,,,,,2010-2025,3;10;12,27,200210,-11.7,concentrated,0.4,Italy:59%;Turkey:20%;Canada:10%,,,,,
pickles,Pickles,pantry,,,,,,,,,,,109249013,94740355,,,,,,,,,,,2010-2025,3;4;9,27,200110,14.6,concentrated,0.28,India:50%;Canada:9%;Vietnam:9%,,,,,
anchovy,Anchovies,pantry,,,,,,,,,,,41242825,319397,,689141,2024,true,false,,,,,,2010-2025,1;11;12,26,160416,-16,diversified,0.22,Morocco:32%;Italy:22%;Peru:21%,,,,,
canned-tuna,Canned tuna,pantry,,,,,,,,,,,1147151501,5684284,,,,,,,,,,,2010-2025,10;11;12,27,160414,3.5,concentrated,0.26,Thailand:48%;Vietnam:12%;Ecuador:12%,,,,,
sardine,Sardines,pantry,,,,,,,,,,,217873287,520332,,972836,2024,true,false,,,,,,2010-2025,1;11;12,27,160413,6.9,diversified,0.17,Poland:29%;Morocco:22%;Thailand:11%,,,,,
caviar,Caviar,pantry,,,,,,,,,,,62986200,5645139,,,,,,,,,,,2012-2025,10;11;12,48,160431,26.1,concentrated,0.33,China:55%;Italy:9%;Poland:8%,,,,,
soy-sauce,Soy sauce,pantry,,,,,,,,,,,108444909,68910730,,,,,,,,,,,2010-2025,4;5;12,26,210310,-8.5,diversified,0.18,China:35%;Japan:13%;Canada:12%,,,,,
ketchup,Ketchup & tomato sauce,pantry,,,,,,,,,,,451164009,373735828,,,,,,,,,,,2010-2025,10;11;12,29,210320,-9.1,concentrated,0.65,Italy:80%;Canada:8%;Costa Rica:5%,,,,,
mustard,Prepared mustard,pantry,,,,,,,,,,,43043364,86489744,,,,,,,,,,,2010-2025,3;6;10,26,210330,-6.1,concentrated,0.34,Canada:43%;France:38%;United Kingdom:8%,,,,,
yeast,Yeast (baking),pantry,,,,,,,,,,,293110965,27436359,,,,,,,,,,,2010-2025,5;6;7,26,210210,-16.5,concentrated,0.33,Canada:48%;Mexico:31%;Belgium:4%,,,,,
coffee,Coffee (roasted),beverage,,,,,,,,,,,2179061589,787240058,,,,,,,,,,,2010-2025,10;11;12,27,090121,5.8,concentrated,0.36,Switzerland:56%;Canada:20%;Italy:8%,,,,,
tea,Tea (black),beverage,,,,,,,,,,,306130069,43253049,,,,,,,,,,,2010-2025,5;9;10,26,090230+090240,-10.3,diversified,0.09,India:18%;Argentina:16%;Sri Lanka:11%,,,,,
